<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.10.27	17:00:00	562.87	563.21	560.22	561.01	934	0	69
2021.10.28	09:00:00	572.44	578.75	571.47	578.23	1832	0	71
2021.10.28	10:00:00	578.27	578.86	571.54	572.17	2759	0	68
2021.10.28	11:00:00	572.12	573.09	567.86	569.64	2758	0	67
2021.10.28	12:00:00	569.65	570.45	568.23	569.52	2465	0	62
2021.10.28	13:00:00	569.53	574.20	568.38	570.64	2712	0	62
2021.10.28	14:00:00	570.75	570.87	565.56	568.50	2610	0	66
2021.10.28	15:00:00	568.51	570.58	567.13	569.62	2620	0	60
2021.10.28	16:00:00	569.66	572.15	569.47	570.73	2471	0	60
2021.10.28	17:00:00	570.73	579.84	569.52	575.10	3158	0	64
2021.10.28	18:00:00	575.16	575.20	564.03	571.74	3327	0	58
2021.10.28	19:00:00	571.81	586.95	568.86	586.02	3350	0	68
2021.10.28	20:00:00	585.82	591.34	583.66	585.99	3267	0	71
2021.10.28	21:00:00	586.05	586.22	579.58	580.93	2405	0	62
2021.10.28	22:00:00	580.95	582.05	575.71	579.18	2928	0	66
2021.10.28	23:00:00	579.23	580.43	576.66	578.42	2865	0	65
2021.10.29	00:00:00	578.41	584.80	575.46	584.47	3238	0	65
2021.10.29	01:00:00	584.53	590.21	584.25	587.48	3057	0	66
2021.10.29	02:00:00	587.51	590.00	586.50	589.60	2577	0	65
