name,adx,sl,tp,ts,ses_len,trades,wr,pf,ret,mdd,sharpe
ADX18_SL1.0_TP1.5_TS4_SES13,18,1.0,1.5,4.0,13,0,0.0,0.0,0.0,0.0,0.0
ADX18_SL1.0_TP1.5_TS4_SES11,18,1.0,1.5,4.0,11,0,0.0,0.0,0.0,0.0,0.0
ADX18_SL1.0_TP1.5_TS4_SES9,18,1.0,1.5,4.0,9,0,0.0,0.0,0.0,0.0,0.0
ADX18_SL1.0_TP1.5_TS4_SES5,18,1.0,1.5,4.0,5,0,0.0,0.0,0.0,0.0,0.0
ADX18_SL1.0_TP1.5_TS8_SES13,18,1.0,1.5,8.0,13,0,0.0,0.0,0.0,0.0,0.0
ADX18_SL1.0_TP1.5_TS8_SES11,18,1.0,1.5,8.0,11,0,0.0,0.0,0.0,0.0,0.0
ADX18_SL1.0_TP1.5_TS8_SES9,18,1.0,1.5,8.0,9,0,0.0,0.0,0.0,0.0,0.0
ADX18_SL1.0_TP1.5_TS8_SES5,18,1.0,1.5,8.0,5,0,0.0,0.0,0.0,0.0,0.0
ADX18_SL1.0_TP1.5_TS12_SES13,18,1.0,1.5,12.0,13,0,0.0,0.0,0.0,0.0,0.0
ADX18_SL1.0_TP1.5_TS12_SES11,18,1.0,1.5,12.0,11,0,0.0,0.0,0.0,0.0,0.0
ADX18_SL1.0_TP1.5_TS12_SES9,18,1.0,1.5,12.0,9,0,0.0,0.0,0.0,0.0,0.0
ADX18_SL1.0_TP1.5_TS12_SES5,18,1.0,1.5,12.0,5,0,0.0,0.0,0.0,0.0,0.0
ADX18_SL1.0_TP1.5_TSNone_SES13,18,1.0,1.5,,13,0,0.0,0.0,0.0,0.0,0.0
ADX18_SL1.0_TP1.5_TSNone_SES11,18,1.0,1.5,,11,0,0.0,0.0,0.0,0.0,0.0
ADX18_SL1.0_TP1.5_TSNone_SES9,18,1.0,1.5,,9,0,0.0,0.0,0.0,0.0,0.0
ADX18_SL1.0_TP1.5_TSNone_SES5,18,1.0,1.5,,5,0,0.0,0.0,0.0,0.0,0.0
ADX18_SL1.0_TP2.0_TS4_SES13,18,1.0,2.0,4.0,13,0,0.0,0.0,0.0,0.0,0.0
ADX18_SL1.0_TP2.0_TS4_SES11,18,1.0,2.0,4.0,11,0,0.0,0.0,0.0,0.0,0.0
ADX18_SL1.0_TP2.0_TS4_SES9,18,1.0,2.0,4.0,9,0,0.0,0.0,0.0,0.0,0.0
ADX18_SL1.0_TP2.0_TS4_SES5,18,1.0,2.0,4.0,5,0,0.0,0.0,0.0,0.0,0.0
ADX18_SL1.0_TP2.0_TS8_SES13,18,1.0,2.0,8.0,13,0,0.0,0.0,0.0,0.0,0.0
ADX18_SL1.0_TP2.0_TS8_SES11,18,1.0,2.0,8.0,11,0,0.0,0.0,0.0,0.0,0.0
ADX18_SL1.0_TP2.0_TS8_SES9,18,1.0,2.0,8.0,9,0,0.0,0.0,0.0,0.0,0.0
ADX18_SL1.0_TP2.0_TS8_SES5,18,1.0,2.0,8.0,5,0,0.0,0.0,0.0,0.0,0.0
ADX18_SL1.0_TP2.0_TS12_SES13,18,1.0,2.0,12.0,13,0,0.0,0.0,0.0,0.0,0.0
ADX18_SL1.0_TP2.0_TS12_SES11,18,1.0,2.0,12.0,11,0,0.0,0.0,0.0,0.0,0.0
ADX18_SL1.0_TP2.0_TS12_SES9,18,1.0,2.0,12.0,9,0,0.0,0.0,0.0,0.0,0.0
ADX18_SL1.0_TP2.0_TS12_SES5,18,1.0,2.0,12.0,5,0,0.0,0.0,0.0,0.0,0.0
ADX18_SL1.0_TP2.0_TSNone_SES13,18,1.0,2.0,,13,0,0.0,0.0,0.0,0.0,0.0
ADX18_SL1.0_TP2.0_TSNone_SES11,18,1.0,2.0,,11,0,0.0,0.0,0.0,0.0,0.0
ADX18_SL1.0_TP2.0_TSNone_SES9,18,1.0,2.0,,9,0,0.0,0.0,0.0,0.0,0.0
