adx,sl,trail,activation,ts,trades,win_rate,pf,ret,dd,final_eq
20,1.0,0.8,1.0,8,58,43.1,0.93,-2.26,-6.49,195.47
20,1.0,0.8,1.0,12,58,43.1,0.88,-3.23,-6.49,193.54
20,1.0,0.8,1.0,16,58,43.1,0.87,-3.55,-6.49,192.9
20,1.0,0.8,1.5,8,58,43.1,0.93,-2.26,-6.49,195.47
20,1.0,0.8,1.5,12,58,43.1,0.88,-3.23,-6.49,193.54
20,1.0,0.8,1.5,16,58,43.1,0.87,-3.55,-6.49,192.9
20,1.0,0.8,2.0,8,58,43.1,0.93,-2.26,-6.49,195.47
20,1.0,0.8,2.0,12,58,43.1,0.88,-3.23,-6.49,193.54
20,1.0,0.8,2.0,16,58,43.1,0.87,-3.55,-6.49,192.9
20,1.0,1.0,1.0,8,58,46.55,0.95,-1.88,-6.75,196.23
20,1.0,1.0,1.0,12,58,46.55,0.97,-1.47,-6.7,197.07
20,1.0,1.0,1.0,16,58,46.55,0.94,-1.97,-6.7,196.06
20,1.0,1.0,1.5,8,58,46.55,0.95,-1.88,-6.75,196.23
20,1.0,1.0,1.5,12,58,46.55,0.97,-1.47,-6.7,197.07
20,1.0,1.0,1.5,16,58,46.55,0.94,-1.97,-6.7,196.06
20,1.0,1.0,2.0,8,58,46.55,0.95,-1.88,-6.75,196.23
20,1.0,1.0,2.0,12,58,46.55,0.97,-1.47,-6.7,197.07
20,1.0,1.0,2.0,16,58,46.55,0.94,-1.97,-6.7,196.06
20,1.0,1.2,1.0,8,58,36.21,0.87,-3.97,-7.29,192.07
20,1.0,1.2,1.0,12,58,34.48,1.0,-0.64,-6.9,198.71
20,1.0,1.2,1.0,16,58,34.48,0.99,-0.94,-6.9,198.12
20,1.0,1.2,1.5,8,58,36.21,0.87,-3.97,-7.29,192.07
20,1.0,1.2,1.5,12,58,34.48,1.0,-0.64,-6.9,198.71
20,1.0,1.2,1.5,16,58,34.48,0.99,-0.94,-6.9,198.12
20,1.0,1.2,2.0,8,58,36.21,0.87,-3.97,-7.29,192.07
20,1.0,1.2,2.0,12,58,34.48,1.0,-0.64,-6.9,198.71
20,1.0,1.2,2.0,16,58,34.48,0.99,-0.94,-6.9,198.12
20,1.5,0.8,1.0,8,58,43.1,0.88,-2.34,-4.66,195.31
20,1.5,0.8,1.0,12,58,43.1,0.82,-3.32,-4.98,193.36
20,1.5,0.8,1.0,16,58,43.1,0.8,-3.53,-4.98,192.93
20,1.5,0.8,1.5,8,58,43.1,0.88,-2.34,-4.66,195.31
20,1.5,0.8,1.5,12,58,43.1,0.82,-3.32,-4.98,193.36
20,1.5,0.8,1.5,16,58,43.1,0.8,-3.53,-4.98,192.93
20,1.5,0.8,2.0,8,58,43.1,0.88,-2.34,-4.66,195.31
20,1.5,0.8,2.0,12,58,43.1,0.82,-3.32,-4.98,193.36
20,1.5,0.8,2.0,16,58,43.1,0.8,-3.53,-4.98,192.93
20,1.5,1.0,1.0,8,58,46.55,0.89,-2.33,-4.92,195.34
20,1.5,1.0,1.0,12,57,47.37,0.88,-2.54,-4.94,194.91
20,1.5,1.0,1.0,16,57,47.37,0.86,-2.88,-4.94,194.25
20,1.5,1.0,1.5,8,58,46.55,0.89,-2.33,-4.92,195.34
20,1.5,1.0,1.5,12,57,47.37,0.88,-2.54,-4.94,194.91
20,1.5,1.0,1.5,16,57,47.37,0.86,-2.88,-4.94,194.25
20,1.5,1.0,2.0,8,58,46.55,0.89,-2.33,-4.92,195.34
20,1.5,1.0,2.0,12,57,47.37,0.88,-2.54,-4.94,194.91
