error,iteration,timeframe,config,total_trades,win_rate_pct,profit_factor,total_return_pct,max_drawdown_pct,sharpe_approx,avg_win_usd,avg_loss_usd,final_equity,avg_duration_bars,time_stop_exits,stop_exits,tp_exits,total_bars,params,use_vwap,use_donchian,trend_filter_h4
unexpected_tf:m5,1,M5,M5_ADX18_SL1.0_TP1.5_TS8,,,,,,,,,,,,,,,,,,
unexpected_tf:m5,2,M5,M5_ADX18_SL1.0_TP1.5_TS16,,,,,,,,,,,,,,,,,,
unexpected_tf:m5,3,M5,M5_ADX18_SL1.0_TP1.5_TS24,,,,,,,,,,,,,,,,,,
unexpected_tf:m5,4,M5,M5_ADX18_SL1.0_TP1.5_TSNone,,,,,,,,,,,,,,,,,,
unexpected_tf:m5,5,M5,M5_ADX18_SL1.0_TP2.0_TS8,,,,,,,,,,,,,,,,,,
unexpected_tf:m5,6,M5,M5_ADX18_SL1.0_TP2.0_TS16,,,,,,,,,,,,,,,,,,
unexpected_tf:m5,7,M5,M5_ADX18_SL1.0_TP2.0_TS24,,,,,,,,,,,,,,,,,,
unexpected_tf:m5,8,M5,M5_ADX18_SL1.0_TP2.0_TSNone,,,,,,,,,,,,,,,,,,
unexpected_tf:m5,9,M5,M5_ADX18_SL1.0_TP2.5_TS8,,,,,,,,,,,,,,,,,,
unexpected_tf:m5,10,M5,M5_ADX18_SL1.0_TP2.5_TS16,,,,,,,,,,,,,,,,,,
unexpected_tf:m5,11,M5,M5_ADX18_SL1.0_TP2.5_TS24,,,,,,,,,,,,,,,,,,
unexpected_tf:m5,12,M5,M5_ADX18_SL1.0_TP2.5_TSNone,,,,,,,,,,,,,,,,,,
unexpected_tf:m5,13,M5,M5_ADX18_SL1.0_TP3.0_TS8,,,,,,,,,,,,,,,,,,
unexpected_tf:m5,14,M5,M5_ADX18_SL1.0_TP3.0_TS16,,,,,,,,,,,,,,,,,,
unexpected_tf:m5,15,M5,M5_ADX18_SL1.0_TP3.0_TS24,,,,,,,,,,,,,,,,,,
unexpected_tf:m5,16,M5,M5_ADX18_SL1.0_TP3.0_TSNone,,,,,,,,,,,,,,,,,,
unexpected_tf:m5,17,M5,M5_ADX18_SL1.5_TP1.5_TS8,,,,,,,,,,,,,,,,,,
unexpected_tf:m5,18,M5,M5_ADX18_SL1.5_TP1.5_TS16,,,,,,,,,,,,,,,,,,
unexpected_tf:m5,19,M5,M5_ADX18_SL1.5_TP1.5_TS24,,,,,,,,,,,,,,,,,,
unexpected_tf:m5,20,M5,M5_ADX18_SL1.5_TP1.5_TSNone,,,,,,,,,,,,,,,,,,
unexpected_tf:m5,21,M5,M5_ADX18_SL1.5_TP2.0_TS8,,,,,,,,,,,,,,,,,,
unexpected_tf:m5,22,M5,M5_ADX18_SL1.5_TP2.0_TS16,,,,,,,,,,,,,,,,,,
